seed,method,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
0,Proposed,3790.833896,384,49,51.481075,0.050826,32.402480,10.836466,True
0,Random Placement,6898.861849,212,49,51.481075,0.115949,106.862881,14.011641,True
0,Importance-based Placement,7378.230582,101,49,51.481075,0.102621,118.860427,14.011641,True
0,No-similarity Placement,10166.957529,0,35,51.481075,0.004300,188.360014,14.328548,True
0,Importance-demand-first Placement,7481.941227,32,49,51.481075,0.080683,122.784319,12.702453,True
1,Proposed,3808.372167,384,49,51.469920,0.050826,32.402480,11.286078,True
1,Random Placement,8594.742784,184,49,51.469920,0.032456,149.042979,14.323214,True
1,Importance-based Placement,7390.247316,101,49,51.469920,0.102621,118.860427,14.323214,True
1,No-similarity Placement,10179.584530,0,35,51.469920,0.004300,188.360014,14.655378,True
1,Importance-demand-first Placement,7492.553769,32,49,51.469920,0.080683,122.784319,12.978921,True
2,Proposed,3797.925862,384,49,51.543982,0.050826,32.402480,10.950858,True
2,Random Placement,4556.405058,229,49,51.543982,0.069373,49.606551,12.690220,True
2,Importance-based Placement,7376.384852,101,49,51.543982,0.102621,118.860427,13.902591,True
2,No-similarity Placement,10168.326158,0,35,51.543982,0.004300,188.360014,14.299857,True
2,Importance-demand-first Placement,7483.968197,32,49,51.543982,0.080683,122.784319,12.690220,True
3,Proposed,3805.530660,384,49,51.474727,0.050826,32.402480,11.210233,True
3,Random Placement,4609.044448,286,49,51.474727,0.031628,51.008570,12.711186,True
3,Importance-based Placement,7377.723536,101,49,51.474727,0.102621,118.860427,14.005313,True
3,No-similarity Placement,10170.181088,0,35,51.474727,0.004300,188.360014,14.415485,True
3,Importance-demand-first Placement,7482.036645,32,49,51.474727,0.080683,122.784319,12.711186,True
4,Proposed,3792.542645,384,49,51.483628,0.050826,32.402480,10.876632,True
4,Random Placement,5560.519333,198,49,51.483628,0.097261,73.007594,14.424500,True
4,Importance-based Placement,7377.835739,101,49,51.483628,0.102621,118.860427,13.999217,True
4,No-similarity Placement,10170.897718,0,35,51.483628,0.004300,188.360014,14.424500,True
4,Importance-demand-first Placement,7482.691890,32,49,51.483628,0.080683,122.784319,12.718666,True
5,Proposed,3808.847946,384,49,51.614807,0.050826,32.402480,11.153085,True
5,Random Placement,6221.750059,257,49,51.614807,0.096283,90.809080,13.023581,True
5,Importance-based Placement,7397.659165,101,49,51.614807,0.102621,118.860427,14.363624,True
5,No-similarity Placement,10186.627715,0,35,51.614807,0.004300,188.360014,14.686571,True
5,Importance-demand-first Placement,7498.614848,32,49,51.614807,0.080683,122.784319,12.985562,True
6,Proposed,3813.318412,384,49,51.706252,0.050826,32.402480,11.173402,True
6,Random Placement,9334.638471,158,49,51.706252,0.094021,168.953061,12.612627,True
6,Importance-based Placement,7389.362755,101,49,51.706252,0.102621,118.860427,14.064768,True
6,No-similarity Placement,10180.078077,0,35,51.706252,0.004300,188.360014,14.431385,True
6,Importance-demand-first Placement,7487.355270,32,49,51.706252,0.080683,122.784319,12.612627,True
7,Proposed,3814.738005,384,49,51.809226,0.050826,32.402480,11.105918,True
7,Random Placement,4354.522134,258,49,51.809226,0.119704,44.295890,12.638234,True
7,Importance-based Placement,7397.932795,101,49,51.809226,0.102621,118.860427,14.176046,True
7,No-similarity Placement,10192.453919,0,35,51.809226,0.004300,188.360014,14.637808,True
7,Importance-demand-first Placement,7492.498487,32,49,51.809226,0.080683,122.784319,12.638234,True
8,Proposed,3816.502666,384,49,51.796156,0.050826,32.402480,11.163105,True
8,Random Placement,6291.819873,209,49,51.796156,0.086421,92.692209,12.720710,True
8,Importance-based Placement,7399.444243,101,49,51.796156,0.102621,118.860427,14.226902,True
8,No-similarity Placement,10190.304666,0,35,51.796156,0.004300,188.360014,14.597146,True
8,Importance-demand-first Placement,7495.274738,32,49,51.796156,0.080683,122.784319,12.720710,True
9,Proposed,3828.067345,384,49,51.892366,0.050826,32.402480,11.356011,True
